time(s),300sample,320sample,340sample,360sample,380sample,400sample
0.0,127.2072,127.2072,127.2072,127.2072,127.2072,127.2072
0.0004,116.3607,116.3607,116.3607,116.3607,116.3607,116.3607
0.0008,103.7156,103.7156,103.7156,103.7156,103.7156,103.7156
0.0012,89.4674,89.4674,89.4674,89.4674,89.4674,89.4674
0.0016,73.8362,73.8362,73.8362,73.8362,73.8362,73.8362
0.002,57.0637,57.0637,57.0637,57.0637,57.0637,57.0637
0.0024,39.4092,39.4092,39.4092,39.4092,39.4092,39.4092
0.0028,21.1456,21.1456,21.1456,21.1456,21.1456,21.1456
0.0032,2.555,2.555,2.555,2.555,2.555,2.555
0.0036,-16.075,-16.075,-16.075,-16.075,-16.075,-16.075
0.004,-34.4565,-34.4565,-34.4565,-34.4565,-34.4565,-34.4565
0.0044,-52.3054,-52.3054,-52.3054,-52.3054,-52.3054,-52.3054
0.0048,-69.3459,-69.3459,-69.3459,-69.3459,-69.3459,-69.3459
0.0052,-85.3144,-85.3144,-85.3144,-85.3144,-85.3144,-85.3144
0.0056,-99.9643,-99.9643,-99.9643,-99.9643,-99.9643,-99.9643
0.006,-113.0689,-113.0689,-113.0689,-113.0689,-113.0689,-113.0689
0.0064,-124.4259,-124.4259,-124.4259,-124.4259,-124.4259,-124.4259
0.0068,-133.8595,-133.8595,-133.8595,-133.8595,-133.8595,-133.8595
0.0072,-141.2241,-141.2241,-141.2241,-141.2241,-141.2241,-141.2241
0.0076,-146.4058,-146.4058,-146.4058,-146.4058,-146.4058,-146.4058
0.008,-149.3244,-149.3244,-149.3244,-149.3244,-149.3244,-149.3244
0.0084,-149.9349,-149.9349,-149.9349,-149.9349,-149.9349,-149.9349
0.0088,-148.2278,-148.2278,-148.2278,-148.2278,-148.2278,-148.2278
0.0092,-144.2296,-144.2296,-144.2296,-144.2296,-144.2296,-144.2296
0.0096,-138.002,-138.002,-138.002,-138.002,-138.002,-138.002
0.01,-129.6412,-129.6412,-129.6412,-129.6412,-129.6412,-129.6412
0.0104,-119.2766,-119.2766,-119.2766,-119.2766,-119.2766,-119.2766
0.0108,-107.0683,-107.0683,-107.0683,-107.0683,-107.0683,-107.0683
0.0112,-93.205,-93.205,-93.205,-93.205,-93.205,-93.205
0.0116,-77.901,-77.901,-77.901,-77.901,-77.901,-77.901
0.012,-61.3929,-61.3929,-61.3929,-61.3929,-61.3929,-61.3929
0.0124,-43.9359,-43.9359,-43.9359,-43.9359,-43.9359,-43.9359
0.0128,-25.7997,-25.7997,-25.7997,-25.7997,-25.7997,-25.7997
0.0132,-7.2647,-7.2647,-7.2647,-7.2647,-7.2647,-7.2647
0.0136,11.3826,11.3826,11.3826,11.3826,11.3826,11.3826
0.014,29.8539,29.8539,29.8539,29.8539,29.8539,29.8539
0.0144,47.8637,47.8637,47.8637,47.8637,47.8637,47.8637
0.0148,65.1338,65.1338,65.1338,65.1338,65.1338,65.1338
0.0152,81.397,81.397,81.397,81.397,81.397,81.397
0.0156,96.4021,96.4021,96.4021,96.4021,96.4021,96.4021
0.016,109.9171,109.9171,109.9171,109.9171,109.9171,109.9171
0.0164,121.733,121.733,121.733,121.733,121.733,121.733
0.0168,131.6674,131.6674,131.6674,131.6674,131.6674,131.6674
0.0172,139.5665,139.5665,139.5665,139.5665,139.5665,139.5665
0.0176,145.3083,145.3083,145.3083,145.3083,145.3083,145.3083
0.018,148.804,148.804,148.804,148.804,148.804,148.804
0.0184,149.9997,149.9997,149.9997,149.9997,149.9997,149.9997
0.0188,148.8768,148.8768,148.8768,148.8768,148.8768,148.8768
0.0192,145.4527,145.4527,145.4527,145.4527,145.4527,145.4527
0.0196,139.7803,139.7803,139.7803,139.7803,139.7803,139.7803
0.02,131.9473,131.9473,131.9473,131.9473,131.9473,131.9473
0.0204,122.0747,122.0747,122.0747,122.0747,122.0747,122.0747
0.0208,110.3153,110.3153,110.3153,110.3153,110.3153,110.3153
0.0212,96.8506,96.8506,96.8506,96.8506,96.8506,96.8506
0.0216,81.889,81.889,81.889,81.889,81.889,81.889
0.022,65.6615,65.6615,65.6615,65.6615,65.6615,65.6615
0.0224,48.4192,48.4192,48.4192,48.4192,48.4192,48.4192
0.0228,30.4283,30.4283,30.4283,30.4283,30.4283,30.4283
0.0232,11.9672,11.9672,11.9672,11.9672,11.9672,11.9672
0.0236,-6.6789,-6.6789,-6.6789,-6.6789,-6.6789,-6.6789
0.024,-25.2218,-25.2218,-25.2218,-25.2218,-25.2218,-25.2218
0.0244,-43.3748,-43.3748,-43.3748,-43.3748,-43.3748,-43.3748
0.0248,-60.8574,-60.8574,-60.8574,-60.8574,-60.8574,-60.8574
0.0252,-77.3993,-77.3993,-77.3993,-77.3993,-77.3993,-77.3993
0.0256,-92.7448,-92.7448,-92.7448,-92.7448,-92.7448,-92.7448
0.026,-106.6567,-106.6567,-106.6567,-106.6567,-106.6567,-106.6567
0.0264,-118.9201,-118.9201,-118.9201,-118.9201,-118.9201,-118.9201
0.0268,-129.3452,-129.3452,-129.3452,-129.3452,-129.3452,-129.3452
0.0272,-137.7711,-137.7711,-137.7711,-137.7711,-137.7711,-137.7711
0.0276,-144.0674,-144.0674,-144.0674,-144.0674,-144.0674,-144.0674
0.028,-148.1368,-148.1368,-148.1368,-148.1368,-148.1368,-148.1368
0.0284,-149.9165,-149.9165,-149.9165,-149.9165,-149.9165,-149.9165
0.0288,-149.3789,-149.3789,-149.3789,-149.3789,-149.3789,-149.3789
0.0292,-146.5323,-146.5323,-146.5323,-146.5323,-146.5323,-146.5323
0.0296,-141.4207,-141.4207,-141.4207,-141.4207,-141.4207,-141.4207
0.03,-134.1231,-134.1231,-134.1231,-134.1231,-134.1231,-134.1231
0.0304,-124.7524,-124.7524,-124.7524,-124.7524,-124.7524,-124.7524
0.0308,-113.4534,-113.4534,-113.4534,-113.4534,-113.4534,-113.4534
0.0312,-100.4007,-100.4007,-100.4007,-100.4007,-100.4007,-100.4007
0.0316,-85.7961,-85.7961,-85.7961,-85.7961,-85.7961,-85.7961
0.032,-69.8653,-69.8653,-69.8653,-69.8653,-69.8653,-69.8653
0.0324,-52.8547,-52.8547,-52.8547,-52.8547,-52.8547,-52.8547
0.0328,-35.027,-35.027,-35.027,-35.027,-35.027,-35.027
0.0332,-16.6579,-16.6579,-16.6579,-16.6579,-16.6579,-16.6579
0.0336,1.9687,1.9687,1.9687,1.9687,1.9687,1.9687
0.034,20.5648,20.5648,20.5648,20.5648,20.5648,20.5648
0.0344,38.8431,38.8431,38.8431,38.8431,38.8431,38.8431
0.0348,56.521,56.521,56.521,56.521,56.521,56.521
0.0352,73.3252,73.3252,73.3252,73.3252,73.3252,73.3252
0.0356,88.996,88.996,88.996,88.996,88.996,88.996
0.036,103.2912,103.2912,103.2912,103.2912,103.2912,103.2912
0.0364,115.9898,115.9898,115.9898,115.9898,115.9898,115.9898
0.0368,126.8955,126.8955,126.8955,126.8955,126.8955,126.8955
0.0372,135.8398,135.8398,135.8398,135.8398,135.8398,135.8398
0.0376,142.6843,142.6843,142.6843,142.6843,142.6843,142.6843
0.038,147.3234,147.3234,147.3234,147.3234,147.3234,147.3234
0.0384,149.6853,149.6853,149.6853,149.6853,149.6853,149.6853
0.0388,149.7335,149.7335,149.7335,149.7335,149.7335,149.7335
0.0392,147.4672,147.4672,147.4672,147.4672,147.4672,147.4672
0.0396,142.9215,142.9215,142.9215,142.9215,142.9215,142.9215
0.04,136.1666,136.1666,136.1666,136.1666,136.1666,136.1666
0.0404,127.307,127.307,127.307,127.307,127.307,127.307
0.0408,116.4796,116.4796,116.4796,116.4796,116.4796,116.4796
0.0412,103.8517,103.8517,103.8517,103.8517,103.8517,103.8517
0.0416,89.6186,89.6186,89.6186,89.6186,89.6186,89.6186
0.042,74.0002,74.0002,74.0002,74.0002,74.0002,74.0002
0.0424,57.238,57.238,57.238,57.238,57.238,57.238
0.0428,39.5911,39.5911,39.5911,39.5911,39.5911,39.5911
0.0432,21.3321,21.3321,21.3321,21.3321,21.3321,21.3321
0.0436,2.7435,2.7435,2.7435,2.7435,2.7435,2.7435
0.044,-15.8875,-15.8875,-15.8875,-15.8875,-15.8875,-15.8875
0.0444,-34.273,-34.273,-34.273,-34.273,-34.273,-34.273
0.0448,-52.1287,-52.1287,-52.1287,-52.1287,-52.1287,-52.1287
0.0452,-69.1787,-69.1787,-69.1787,-69.1787,-69.1787,-69.1787
0.0456,-85.1593,-85.1593,-85.1593,-85.1593,-85.1593,-85.1593
0.046,-99.8236,-99.8236,-99.8236,-99.8236,-99.8236,-99.8236
0.0464,-112.945,-112.945,-112.945,-112.945,-112.945,-112.945
0.0468,-124.3205,-124.3205,-124.3205,-124.3205,-124.3205,-124.3205
0.0472,-133.7744,-133.7744,-133.7744,-133.7744,-133.7744,-133.7744
0.0476,-141.1605,-141.1605,-141.1605,-141.1605,-141.1605,-141.1605
0.048,-146.3646,-146.3646,-146.3646,-146.3646,-146.3646,-146.3646
0.0484,-149.3064,-149.3064,-149.3064,-149.3064,-149.3064,-149.3064
0.0488,-149.9403,-149.9403,-149.9403,-149.9403,-149.9403,-149.9403
0.0492,-148.2566,-148.2566,-148.2566,-148.2566,-148.2566,-148.2566
0.0496,-144.2813,-144.2813,-144.2813,-144.2813,-144.2813,-144.2813
0.05,-138.0757,-138.0757,-138.0757,-138.0757,-138.0757,-138.0757
0.0504,-129.7359,-129.7359,-129.7359,-129.7359,-129.7359,-129.7359
0.0508,-119.3908,-119.3908,-119.3908,-119.3908,-119.3908,-119.3908
0.0512,-107.2002,-107.2002,-107.2002,-107.2002,-107.2002,-107.2002
0.0516,-93.3526,-93.3526,-93.3526,-93.3526,-93.3526,-93.3526
0.052,-78.062,-78.062,-78.062,-78.062,-78.062,-78.062
0.0524,-61.5649,-61.5649,-61.5649,-61.5649,-61.5649,-61.5649
0.0528,-44.1161,-44.1161,-44.1161,-44.1161,-44.1161,-44.1161
0.0532,-25.9853,-25.9853,-25.9853,-25.9853,-25.9853,-25.9853
0.0536,-7.453,-7.453,-7.453,-7.453,-7.453,-7.453
0.054,11.1946,11.1946,11.1946,11.1946,11.1946,11.1946
0.0544,29.6691,29.6691,29.6691,29.6691,29.6691,29.6691
0.0548,47.6851,47.6851,47.6851,47.6851,47.6851,47.6851
0.0552,64.9639,64.9639,64.9639,64.9639,64.9639,64.9639
0.0556,81.2386,81.2386,81.2386,81.2386,81.2386,81.2386
0.056,96.2576,96.2576,96.2576,96.2576,96.2576,96.2576
0.0564,109.7887,109.7887,109.7887,109.7887,109.7887,109.7887
0.0568,121.6228,121.6228,121.6228,121.6228,121.6228,121.6228
0.0572,131.577,131.577,131.577,131.577,131.577,131.577
0.0576,139.4973,139.4973,139.4973,139.4973,139.4973,139.4973
0.058,145.2614,145.2614,145.2614,145.2614,145.2614,145.2614
0.0584,148.7802,148.7802,148.7802,148.7802,148.7802,148.7802
0.0588,149.9992,149.9992,149.9992,149.9992,149.9992,149.9992
0.0592,148.8997,148.8997,148.8997,148.8997,148.8997,148.8997
0.0596,145.4986,145.4986,145.4986,145.4986,145.4986,145.4986
0.06,139.8486,139.8486,139.8486,139.8486,139.8486,139.8486
0.0604,132.0368,132.0368,132.0368,132.0368,132.0368,132.0368
0.0608,122.1842,122.1842,122.1842,122.1842,122.1842,122.1842
0.0612,110.4429,110.4429,110.4429,110.4429,110.4429,110.4429
0.0616,96.9945,96.9945,96.9945,96.9945,96.9945,96.9945
0.062,82.0468,82.0468,82.0468,82.0468,82.0468,82.0468
0.0624,65.831,65.831,65.831,65.831,65.831,65.831
0.0628,48.5975,48.5975,48.5975,48.5975,48.5975,48.5975
0.0632,30.6129,30.6129,30.6129,30.6129,30.6129,30.6129
0.0636,12.1551,12.1551,12.1551,12.1551,12.1551,12.1551
0.064,-6.4906,-6.4906,-6.4906,-6.4906,-6.4906,-6.4906
